127.0.0.1, 2013-08-01 09:07:33, GET, /grid/default/generateData, HTTP/1.1, 200, 0.147485
127.0.0.1, 2013-08-01 09:07:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000411
127.0.0.1, 2013-08-01 09:07:36, GET, /grid/default/grid, HTTP/1.1, 200, 0.024282
127.0.0.1, 2013-08-01 09:07:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000468
127.0.0.1, 2013-08-01 09:08:11, GET, /grid/default/grid, HTTP/1.1, 200, 0.023836
127.0.0.1, 2013-08-01 09:08:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000382
127.0.0.1, 2013-08-01 09:08:30, GET, /grid/default/grid, HTTP/1.1, 200, 0.018784
127.0.0.1, 2013-08-01 09:08:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000357
127.0.0.1, 2013-08-01 09:11:14, GET, /grid/default/generateData, HTTP/1.1, 500, 0.067434
127.0.0.1, 2013-08-01 09:11:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000444
127.0.0.1, 2013-08-01 09:11:16, GET, /admin/default/ticket/grid/127.0.0.1.2013-08-01.09-11-14.331ee8cf-e390-412b-a81b-2d83d410f44e, HTTP/1.1, 200, 0.103926
127.0.0.1, 2013-08-01 09:11:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000391
127.0.0.1, 2013-08-01 09:13:01, GET, /grid/default/generateData, HTTP/1.1, 500, 0.060705
127.0.0.1, 2013-08-01 09:13:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000443
127.0.0.1, 2013-08-01 09:13:03, GET, /admin/default/ticket/grid/127.0.0.1.2013-08-01.09-13-01.d44b262e-23da-4388-b533-d58d7232e079, HTTP/1.1, 200, 0.093494
127.0.0.1, 2013-08-01 09:13:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000419
127.0.0.1, 2013-08-01 09:13:49, GET, /grid/default/generateData, HTTP/1.1, 200, 0.103835
127.0.0.1, 2013-08-01 09:13:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000405
